FID	IID	PHENO
i8626-22	i8626-22	-2.90060168209443
i8627-15	i8627-15	-7.35540694437107
i8627-19	i8627-19	2.30851847448032
i8627-22	i8627-22	-0.261291395864096
i8627-6	i8627-6	-3.74261200382655
i8627-8	i8627-8	0.187940041770479
i8628-10	i8628-10	-6.21731161841919
i8628-20	i8628-20	1.60840536611441
i8628-21	i8628-21	5.21594972222586
i8628-22	i8628-22	0.363075563164966
i8629-10	i8629-10	-7.32232804017827
i8629-22	i8629-22	-2.58096527590759
i8629-25	i8629-25	4.47490908431724
i8630-10	i8630-10	2.601642122206
i8630-9	i8630-9	3.0355111934931
i8631-5	i8631-5	3.65289601468149
i8632-14	i8632-14	0.177909636367973
i8632-17	i8632-17	-3.07365445300686
i8632-2	i8632-2	2.80664361976623
i8632-6	i8632-6	0.313761725091204
i8634-14	i8634-14	-1.11163670953568
i8636-16	i8636-16	-2.31447349232726
i8636-20	i8636-20	3.69076570397405
i8636-23	i8636-23	1.60633929165409
i8636-5	i8636-5	-3.95409121407559
i8636-6	i8636-6	-0.0738499247566876
i8636-8	i8636-8	-6.46047348736198
i8637-12	i8637-12	5.85914269362488
i8637-14	i8637-14	1.31031458221878
i8637-16	i8637-16	-7.64513457629314
i8638-20	i8638-20	5.11186800301669
i8640-2	i8640-2	4.4982149747785
i8640-4	i8640-4	-0.27685707059367
i8641-21	i8641-21	-3.22071858553191
i8641-23	i8641-23	-0.504942550020437
i8641-6	i8641-6	2.83509100300665
i8641-7	i8641-7	1.14394639767449
i8641-8	i8641-8	6.55692428763438
i8642-8	i8642-8	6.82453628818048
i8643-11	i8643-11	-0.998432469014485
i8643-24	i8643-24	2.41072308078373
i8643-4	i8643-4	2.36479598319177
i8644-04	i8644-04	-0.905473138806431
i8644-13	i8644-13	-2.34840991124761
i8644-17	i8644-17	0.128433048318822
i8644-3	i8644-3	2.05397734686693
i8645-5	i8645-5	1.53049332556959
i8646-14	i8646-14	6.67812379223802
i8646-3	i8646-3	1.13829503851328
i8646-7	i8646-7	-6.59038093046978
i8647-10	i8647-10	-1.23707685912817
i8647-11	i8647-11	-3.83214596687134
i8647-7	i8647-7	-1.6695605334117
i8648-12	i8648-12	2.67387963360406
i8648-16	i8648-16	-2.37833126091209
i8648-22	i8648-22	-6.16592362406488
i8648-23	i8648-23	-4.26147336127875
i8648-6	i8648-6	0.423345787806023
i8649-14	i8649-14	2.03870398103873
i8649-16	i8649-16	4.05448719284948
i8649-19	i8649-19	-2.47769454296803
i8650-18	i8650-18	5.07011098472562
i8650-4	i8650-4	-2.95048762377087
i8650-6	i8650-6	0.431021379286529
i8651-4	i8651-4	-6.40856167137084
i8651-9	i8651-9	-2.40901180187799
i8653-3	i8653-3	-0.5888656455169
i8653-9	i8653-9	0.744717729122273
i8654-17	i8654-17	7.92794273868309
i8654-23	i8654-23	-4.95931537763963
i8655-10	i8655-10	0.334694667935705
i8655-17	i8655-17	-0.66155656579523
i8655-8	i8655-8	-7.65976494995462
i8656-06	i8656-06	-2.42665041190624
i8656-11	i8656-11	0.0334940329625622
i8656-2	i8656-2	-3.7608626924685
i8657-22	i8657-22	0.564444663089801
i8658-12	i8658-12	3.13357628696038
i8658-14	i8658-14	-1.54748469825746
i8658-15	i8658-15	2.91994532092499
i8658-16	i8658-16	-1.69909058193308
i8658-25	i8658-25	7.17910202456007
i8658-7	i8658-7	-2.4065446599302
i8658-8	i8658-8	-3.06131939773177
i8659-16	i8659-16	4.82638338645209
i8659-19	i8659-19	1.27934594591616
i8659-20	i8659-20	-0.209920747333976
i8660-5	i8660-5	0.0281798080479817
i8661-24	i8661-24	5.73864929862825
i8661-9	i8661-9	-4.71737507987274
i8662-7	i8662-7	-0.633325290410635
i8663-3	i8663-3	-0.459039327268165
i8663-5	i8663-5	2.34344421208303
i8663-7	i8663-7	-0.596716117376052
i8663-8	i8663-8	-0.392282125027828
i8663-9	i8663-9	-1.03440154958742
i8664-14	i8664-14	3.15698443033834
i8664-25	i8664-25	-1.72145249045421
i8664-8	i8664-8	-2.48895818852948
i8810-15	i8810-15	-9.0255737958132
i8810-20	i8810-20	-3.49460117343705
i8810-5	i8810-5	0.837164772818279
i8811-23	i8811-23	-1.86391118679818
i8811-4	i8811-4	0.589602322182962
i8811-9	i8811-9	-3.78344181300428
i8812-22	i8812-22	-5.55799863004402
i8813-17	i8813-17	-6.30860309408374
i8814-11	i8814-11	3.42780888732624
i8814-13	i8814-13	-1.50467441744447
i8814-14	i8814-14	8.92721218641811
i8814-16	i8814-16	4.54809606925817
i8814-21	i8814-21	3.91978648835554
i8815-10	i8815-10	-4.78827250241
i8815-16	i8815-16	3.13220711109493
i8815-21	i8815-21	2.84071230992287
i8815-3	i8815-3	6.18555590081742
i8816-3	i8816-3	5.22506470338262
i8816-4	i8816-4	0.975563836627194
i8817-10	i8817-10	0.316819860233093
i8817-3	i8817-3	4.65340589965422
i8818-16	i8818-16	-2.54081023916995
i8818-19	i8818-19	-1.8410771996442
i8818-23	i8818-23	-0.647549638653665
i8818-3	i8818-3	-5.01793951713204
i8818-7	i8818-7	6.99623883931106
i8819-19	i8819-19	0.513529918362755
i8819-22	i8819-22	1.86639825284309
i8820-10	i8820-10	1.16680067873822
i8820-14	i8820-14	4.78273472077543
i8820-20	i8820-20	-3.09457760960209
i8820-4	i8820-4	7.28820020668529
i8821-13	i8821-13	1.8696474827533
i8821-21	i8821-21	-1.61179780164873
i8821-3	i8821-3	-1.75335624502609
i8821-7	i8821-7	-2.57425798170759
i8821-9	i8821-9	4.67489148538965
i8822-20	i8822-20	4.42738660526208
i8822-22	i8822-22	0.778902606919486
i8823-4	i8823-4	3.23775170095632
i8823-5	i8823-5	0.301256093829855
i8823-8	i8823-8	2.44354075938188
i8824-18	i8824-18	-4.50434478955929
i8824-4	i8824-4	2.84502475313202
i8824-7	i8824-7	3.63590541501238
i8825-3	i8825-3	-4.11717662925455
i8825-7	i8825-7	-2.5297659520311
i8826-12	i8826-12	0.914946699917499
i8826-23	i8826-23	2.77484784979658
i8826-24	i8826-24	5.79297790918917
i8826-8	i8826-8	0.204721774943918
i8828-19	i8828-19	-5.43557340902517
i8828-21	i8828-21	0.028597953932382
i8828-6	i8828-6	-1.2657375745106
i8829-16	i8829-16	-1.72019768285773
i8829-8	i8829-8	-0.669336548931485
i8829-9	i8829-9	-1.42771334773422
i8830-15	i8830-15	-2.17436787240191
i8830-24	i8830-24	1.45246592746341
i8830-5	i8830-5	4.11961299078008
i8831-21	i8831-21	-5.04519981310965
i8832-14	i8832-14	-0.746050156595463
i8832-2	i8832-2	2.30590808348699
i8832-21	i8832-21	-1.64064587543505
i8832-24	i8832-24	-4.33364638306015
i8832-7	i8832-7	3.9115557569549
i8832-8	i8832-8	-0.065923714291291
i8834-15	i8834-15	3.72814112145495
i8834-18	i8834-18	-0.574083688275016
i8835-15	i8835-15	-0.503209554204524
i8835-5	i8835-5	4.11311504800716
i8835-8	i8835-8	2.13256630619978
i8836-13	i8836-13	4.61237341170189
i8836-15	i8836-15	-3.95098401541352
i8836-16	i8836-16	1.02031821378672
i8836-24	i8836-24	9.86155432415037
i8836-5	i8836-5	5.55813223776001
i8837-14	i8837-14	-0.775816128858067
i8837-16	i8837-16	2.16385115280888
i8838-13	i8838-13	5.37670533849737
i8838-20	i8838-20	-5.35293064655613
i8838-4	i8838-4	1.3851917645964
i8839-23	i8839-23	-0.794406436750303
i8840-20	i8840-20	4.1225762350014
i8840-22	i8840-22	1.10726517297849
i8840-4	i8840-4	4.64492284621146
i8841-25	i8841-25	-6.34603117849876
i8841-6	i8841-6	3.71789689062261
i8842-16	i8842-16	2.96951401386114
i8842-21	i8842-21	1.80121030307897
i8842-22	i8842-22	-2.36743963598063
i8842-4	i8842-4	4.6685936541814
i8843-12	i8843-12	-1.6050019086548
i8843-17	i8843-17	4.61801491132944
i8844-20	i8844-20	-1.03496219678343
i8844-23	i8844-23	-0.603272159041782
i8844-24	i8844-24	4.07965248545168
i8844-4	i8844-4	6.81601202310577
i8844-5	i8844-5	4.49229745087796
i8845-06	i8845-06	4.79821266198134
i8845-20	i8845-20	-1.77541457186895
i8845-25	i8845-25	7.01047268151393
i886-7	i886-7	6.85063831657263
i887-20	i887-20	1.45840503259211
i887-21	i887-21	1.21247039283152
i888-7	i888-7	-0.776726868155698
i889-5	i889-5	0.0469854517671273
i9210-16	i9210-16	-0.36503000511543
i9211-14	i9211-14	0.62908258861611
i9211-3	i9211-3	-1.21388843912682
i9212-14	i9212-14	-0.857450559378924
i9213-9	i9213-9	-2.15254216704292
i9214-17	i9214-17	-0.272463722675723
i9214-19	i9214-19	-1.58423449437561
i9215-12	i9215-12	4.86698693474551
i9216-14	i9216-14	-2.78984674577976
i9216-17	i9216-17	0.190291736977764
i9217-20	i9217-20	-7.44205105673359
i9218-22	i9218-22	0.722472204220794
i9219-10	i9219-10	0.559153688134623
i9220-22	i9220-22	-3.77291242010624
i9220-3	i9220-3	-0.287874391990077
i9221-14	i9221-14	0.549329500821599
i9221-8	i9221-8	1.8600791204048
i9222-17	i9222-17	2.09471944482199
i9222-25	i9222-25	-3.22198859284692
i9223-7	i9223-7	-2.40606572059051
i9223-9	i9223-9	0.539313641398981
i9224-19	i9224-19	-5.63371187422431
i9224-21	i9224-21	-1.4844178051192
i9226-11	i9226-11	-1.87632364819248
i9227-12	i9227-12	-0.58871622961177
i9228-25	i9228-25	-3.34774878735894
i9229-5	i9229-5	-3.57550579509974
i923-20	i923-20	1.54309421860069
i923-22	i923-22	-3.62135008082826
i923-3	i923-3	-1.08826441727736
i923-4	i923-4	-3.34356604265737
i9230-17	i9230-17	0.446987654123102
i9230-3	i9230-3	0.472201185485867
i9231-16	i9231-16	-1.86566709492561
i9231-18	i9231-18	1.25803946156923
i9231-23	i9231-23	-1.37632394367453
i9231-4	i9231-4	0.451720963362327
i9232-10	i9232-10	-11.7713749200575
i9232-17	i9232-17	-0.933272534036891
i9233-13	i9233-13	-3.31414854678901
i9233-15	i9233-15	-1.71245116879631
i9233-16	i9233-16	1.37705720088326
i9233-17	i9233-17	-1.12458345574402
i9233-22	i9233-22	-0.0344279333212681
i9233-3	i9233-3	-2.14985368272452
i9234-7	i9234-7	1.27900170172295
i9235-16	i9235-16	0.605934383571137
i9235-8	i9235-8	-0.417613632979248
i9236-12	i9236-12	-1.06728502564056
i9237-17	i9237-17	-6.58269797869157
i9237-19	i9237-19	-3.28604345345479
i9237-20	i9237-20	2.76922603693113
i9238-13	i9238-13	-7.11929163938053
i9238-14	i9238-14	3.73205683254789
i9238-19	i9238-19	-4.77803378240144
i9238-7	i9238-7	-0.203332446207057
i9238-9	i9238-9	-2.56145890875089
i924-16	i924-16	-6.86043783924222
i924-2	i924-2	-3.28863347006804
i924-23	i924-23	3.65286314345971
i926-9	i926-9	-0.835382667031979
i928-3	i928-3	-4.42791201520798
i929-11	i929-11	-0.621796828795606
i929-15	i929-15	-1.35782852792704
i929-17	i929-17	-4.51340580731858
i929-18	i929-18	-0.633037254587484
i929-21	i929-21	-0.386468494887701
i929-23	i929-23	6.56324238318075
i9710-2	i9710-2	5.63210033620501
i9711-12	i9711-12	-1.27890897412689
i9711-18	i9711-18	1.49152813845303
i9711-20	i9711-20	-0.100111788536747
i9711-8	i9711-8	-1.75330924025534
i9712-11	i9712-11	6.27297174821636
