"new_tree_id","sequencing_id","field","mother","father","cross"
"1986_22_26_22","i8626-22",22,"CRD","WAT","CRD_x_WAT"
"1986_22_27_15","i8627-15",22,"CRD","WAT","CRD_x_WAT"
"1986_22_27_19","i8627-19",22,"CRD","WAT","CRD_x_WAT"
"1986_22_27_22","i8627-22",22,"CRD","WAT","CRD_x_WAT"
"1986_22_27_6","i8627-6",22,"CRD","WAT","CRD_x_WAT"
"1986_22_27_8","i8627-8",22,"CRD","WAT","CRD_x_WAT"
"1986_22_28_10","i8628-10",22,"CRD","WAT","CRD_x_WAT"
"1986_22_28_20","i8628-20",22,"CRD","WAT","CRD_x_WAT"
"1986_22_28_21","i8628-21",22,"CRD","WAT","CRD_x_WAT"
"1986_22_28_22","i8628-22",22,"CRD","WAT","CRD_x_WAT"
"1986_22_29_10","i8629-10",22,"CRD","WAT","CRD_x_WAT"
"1986_22_29_22","i8629-22",22,"CRD","WAT","CRD_x_WAT"
"1986_22_29_25","i8629-25",22,"CRD","WAT","CRD_x_WAT"
"1986_22_30_10","i8630-10",22,"CRD","WAT","CRD_x_WAT"
"1986_22_30_9","i8630-9",22,"CRD","WAT","CRD_x_WAT"
"1986_22_31_5","i8631-5",22,"CRD","WAT","CRD_x_WAT"
"1986_22_32_14","i8632-14",22,"CRD","WAT","CRD_x_WAT"
"1986_22_32_17","i8632-17",22,"CRD","WAT","CRD_x_WAT"
"1986_22_32_2","i8632-2",22,"CRD","WAT","CRD_x_WAT"
"1986_22_32_6","i8632-6",22,"CRD","WAT","CRD_x_WAT"
"1986_22_34_14","i8634-14",22,"CRD","WAT","CRD_x_WAT"
"1986_22_36_16","i8636-16",22,"CRD","WAT","CRD_x_WAT"
"1986_22_36_20","i8636-20",22,"CRD","WAT","CRD_x_WAT"
"1986_22_36_23","i8636-23",22,"CRD","WAT","CRD_x_WAT"
"1986_22_36_5","i8636-5",22,"CRD","WAT","CRD_x_WAT"
"1986_22_36_6","i8636-6",22,"CRD","WAT","CRD_x_WAT"
"1986_22_36_8","i8636-8",22,"CRD","WAT","CRD_x_WAT"
"1986_22_37_12","i8637-12",22,"CRD","WAT","CRD_x_WAT"
"1986_22_37_14","i8637-14",22,"CRD","WAT","CRD_x_WAT"
"1986_22_37_16","i8637-16",22,"CRD","WAT","CRD_x_WAT"
"1986_22_38_20","i8638-20",22,"CRD","WAT","CRD_x_WAT"
"1986_22_40_2","i8640-2",22,"CRD","WAT","CRD_x_WAT"
"1986_22_40_4","i8640-4",22,"CRD","WAT","CRD_x_WAT"
"1986_22_41_21","i8641-21",22,"CRD","WAT","CRD_x_WAT"
"1986_22_41_23","i8641-23",22,"CRD","WAT","CRD_x_WAT"
"1986_22_41_6","i8641-6",22,"CRD","WAT","CRD_x_WAT"
"1986_22_41_7","i8641-7",22,"CRD","WAT","CRD_x_WAT"
"1986_22_41_8","i8641-8",22,"CRD","WAT","CRD_x_WAT"
"1986_22_42_8","i8642-8",22,"CRD","WAT","CRD_x_WAT"
"1986_22_43_11","i8643-11",22,"CRD","WAT","CRD_x_WAT"
"1986_22_43_24","i8643-24",22,"CRD","WAT","CRD_x_WAT"
"1986_22_43_4","i8643-4",22,"CRD","WAT","CRD_x_WAT"
"1986_22_44_13","i8644-13",22,"CRD","WAT","CRD_x_WAT"
"1986_22_44_17","i8644-17",22,"CRD","WAT","CRD_x_WAT"
"1986_22_44_3","i8644-3",22,"CRD","WAT","CRD_x_WAT"
"1986_22_44_4","i8644-04",22,"CRD","WAT","CRD_x_WAT"
"1986_22_45_5","i8645-5",22,"CRD","WAT","CRD_x_WAT"
"1986_22_46_14","i8646-14",22,"CRD","WAT","CRD_x_WAT"
"1986_22_46_3","i8646-3",22,"CRD","WAT","CRD_x_WAT"
"1986_22_46_7","i8646-7",22,"CRD","WAT","CRD_x_WAT"
"1986_22_47_10","i8647-10",22,"CRD","WAT","CRD_x_WAT"
"1986_22_47_11","i8647-11",22,"CRD","WAT","CRD_x_WAT"
"1986_22_47_7","i8647-7",22,"CRD","WAT","CRD_x_WAT"
"1986_22_48_12","i8648-12",22,"CRD","WAT","CRD_x_WAT"
"1986_22_48_16","i8648-16",22,"CRD","WAT","CRD_x_WAT"
"1986_22_48_22","i8648-22",22,"CRD","WAT","CRD_x_WAT"
"1986_22_48_23","i8648-23",22,"CRD","WAT","CRD_x_WAT"
"1986_22_48_6","i8648-6",22,"CRD","WAT","CRD_x_WAT"
"1986_22_49_14","i8649-14",22,"CRD","WAT","CRD_x_WAT"
"1986_22_49_16","i8649-16",22,"CRD","WAT","CRD_x_WAT"
"1986_22_49_19","i8649-19",22,"CRD","WAT","CRD_x_WAT"
"1986_22_50_18","i8650-18",22,"CRD","WAT","CRD_x_WAT"
"1986_22_50_4","i8650-4",22,"CRD","WAT","CRD_x_WAT"
"1986_22_50_6","i8650-6",22,"CRD","WAT","CRD_x_WAT"
"1986_22_51_4","i8651-4",22,"CRD","WAT","CRD_x_WAT"
"1986_22_51_9","i8651-9",22,"CRD","WAT","CRD_x_WAT"
"1986_22_53_3","i8653-3",22,"CRD","WAT","CRD_x_WAT"
